清晨,http://f2.htqyy.com/play7/33/mp3/6
月光下的凤尾竹,http://f2.htqyy.com/play7/62/mp3/6
故乡的原风景,http://f2.htqyy.com/play7/55/mp3/6
心灵雨伞,http://f2.htqyy.com/play7/58/mp3/6
荡涤心灵的天籁之音,http://f2.htqyy.com/play7/261/mp3/6
夜的钢琴曲五,http://f2.htqyy.com/play7/56/mp3/6
极度放松睡眠轻音乐,http://f2.htqyy.com/play7/231/mp3/6
时间都去哪了,http://f2.htqyy.com/play7/329/mp3/6
The Beginning,http://f2.htqyy.com/play7/591/mp3/6
秋日私语,http://f2.htqyy.com/play7/3/mp3/6
你的微笑,http://f2.htqyy.com/play7/26/mp3/6
斯卡布罗市集(口哨曲),http://f2.htqyy.com/play7/57/mp3/6
亡灵序曲,http://f2.htqyy.com/play7/163/mp3/6
唯美治愈系钢琴,http://f2.htqyy.com/play7/176/mp3/6
牧羊曲,http://f2.htqyy.com/play7/108/mp3/6
夜曲(很伤感的纯音乐),http://f2.htqyy.com/play7/31/mp3/6
寂静之声,http://f2.htqyy.com/play7/23/mp3/6
月光,http://f2.htqyy.com/play7/34/mp3/6
雨的印记,http://f2.htqyy.com/play7/61/mp3/6
太阳的后裔OST《Always》,http://f2.htqyy.com/play7/1621/mp3/6
